Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
IWM.NYSE@BMD,260.24,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
IWM.NYSE@BMD,262.47,SPOT 262.5,#000000,#FFFF00,center,1,TRUE
IWM.NYSE@BMD,260.24,NET GEX 50.7,#000000,#FFA500,center,1,FALSE
IWM.NYSE@BMD,258,GEX now +16,#000000,#00BFFF,center,1,TRUE
IWM.NYSE@BMD,260,GEX 1m -49,#FFFFFF,#FF6600,center,1,TRUE
IWM.NYSE@BMD,262,GEX 5m -63,#FFFFFF,#FF6600,center,1,TRUE
IWM.NYSE@BMD,262,GEX 10m -115,#FFFFFF,#FF6600,center,1,TRUE
IWM.NYSE@BMD,261,GEX 15m -113,#FFFFFF,#FF6600,center,1,TRUE
IWM.NYSE@BMD,263,GEX 30m +125,#000000,#00BFFF,center,1,TRUE
DIA.NYSE@BMD,483,CALL 483.0,#FFFFFF,#008000,center,1,TRUE
DIA.NYSE@BMD,477,PUT 477.0,#FFFFFF,#8B0000,center,1,TRUE
DIA.NYSE@BMD,478.5,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
DIA.NYSE@BMD,482.51,SPOT 482.5,#000000,#FFFF00,center,1,TRUE
DIA.NYSE@BMD,478.5,NET GEX 131.5,#000000,#FFA500,center,1,FALSE
DIA.NYSE@BMD,480,GEX now -1,#FFFFFF,#FF6600,center,1,TRUE
DIA.NYSE@BMD,482,GEX 1m +1,#000000,#00BFFF,center,1,TRUE
DIA.NYSE@BMD,480,GEX 5m -1,#FFFFFF,#FF6600,center,1,TRUE
DIA.NYSE@BMD,480,GEX 10m -1,#FFFFFF,#FF6600,center,1,TRUE
DIA.NYSE@BMD,480,GEX 15m -1,#FFFFFF,#FF6600,center,1,TRUE
DIA.NYSE@BMD,482.5,GEX 30m +1,#000000,#00BFFF,center,1,TRUE
SPX.IND@BMD,6830,CALL 6830.0,#FFFFFF,#008000,center,1,TRUE
SPX.IND@BMD,6725,PUT 6725.0,#FFFFFF,#8B0000,center,1,TRUE
SPX.IND@BMD,6777.95,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
SPX.IND@BMD,6822.39,SPOT 6822.4,#000000,#FFFF00,center,1,TRUE
SPX.IND@BMD,6777.95,NET GEX 36191.3,#000000,#FFA500,center,1,FALSE
SPX.IND@BMD,6820,GEX now -2674,#FFFFFF,#FF6600,center,1,TRUE
SPX.IND@BMD,6830,GEX 1m -1336,#FFFFFF,#FF6600,center,1,TRUE
SPX.IND@BMD,6850,GEX 5m +2016,#000000,#00BFFF,center,1,TRUE
SPX.IND@BMD,6820,GEX 10m -2016,#FFFFFF,#FF6600,center,1,TRUE
SPX.IND@BMD,6830,GEX 15m +9855,#000000,#00BFFF,center,1,TRUE
SPX.IND@BMD,6830,GEX 30m +11766,#000000,#00BFFF,center,1,TRUE
NDX.IND@BMD,25200,CALL 25200.0,#FFFFFF,#008000,center,1,TRUE
NDX.IND@BMD,24739.84,PUT 24739.8,#FFFFFF,#8B0000,center,1,TRUE
NDX.IND@BMD,24921.63,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
NDX.IND@BMD,25021.18,SPOT 25021.2,#000000,#FFFF00,center,1,TRUE
NDX.IND@BMD,24921.63,NET GEX 816.1,#000000,#FFA500,center,1,FALSE
NDX.IND@BMD,24950,GEX now +62,#000000,#00BFFF,center,1,TRUE
NDX.IND@BMD,25100,GEX 1m -89,#FFFFFF,#FF6600,center,1,TRUE
NDX.IND@BMD,25000,GEX 5m -225,#FFFFFF,#FF6600,center,1,TRUE
NDX.IND@BMD,24900,GEX 10m -253,#FFFFFF,#FF6600,center,1,TRUE
NDX.IND@BMD,25150,GEX 15m +428,#000000,#00BFFF,center,1,TRUE
NDX.IND@BMD,25050,GEX 30m +399,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2650,CALL 2650.0,#FFFFFF,#008000,center,1,TRUE
RUT.IND@BMD,2590.08,PUT 2590.1,#FFFFFF,#8B0000,center,1,TRUE
RUT.IND@BMD,2630.51,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
RUT.IND@BMD,2640.85,SPOT 2640.8,#000000,#FFFF00,center,1,TRUE
RUT.IND@BMD,2630.51,NET GEX 132.9,#000000,#FFA500,center,1,FALSE
RUT.IND@BMD,2665,GEX now +3,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2640,GEX 1m +7,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2635,GEX 5m +23,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2650,GEX 10m +39,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2650,GEX 15m +54,#000000,#00BFFF,center,1,TRUE
RUT.IND@BMD,2650,GEX 30m +59,#000000,#00BFFF,center,1,TRUE
VIX.IND@BMD,25,CALL 25.0,#FFFFFF,#008000,center,1,TRUE
VIX.IND@BMD,20,PUT 20.0,#FFFFFF,#8B0000,center,1,TRUE
VIX.IND@BMD,22.47,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
VIX.IND@BMD,19.93,SPOT 19.9,#000000,#FFFF00,center,1,TRUE
VIX.IND@BMD,22.47,NET GEX -48.4,#000000,#FFA500,center,1,FALSE
VIX.IND@BMD,19.5,GEX now +0,#000000,#00BFFF,center,1,TRUE
VIX.IND@BMD,21,GEX 1m -1,#FFFFFF,#FF6600,center,1,TRUE
VIX.IND@BMD,21,GEX 5m -1,#FFFFFF,#FF6600,center,1,TRUE
VIX.IND@BMD,21,GEX 10m -1,#FFFFFF,#FF6600,center,1,TRUE
VIX.IND@BMD,21,GEX 15m -1,#FFFFFF,#FF6600,center,1,TRUE
VIX.IND@BMD,21,GEX 30m -1,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6870.82,CALL 6870.8,#FFFFFF,#008000,center,1,TRUE
ESM6.CME@BMD,6765.82,PUT 6765.8,#FFFFFF,#8B0000,center,1,TRUE
ESM6.CME@BMD,6818.77,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
ESM6.CME@BMD,6863.49,SPOT 6863.5,#000000,#FFFF00,center,1,TRUE
ESM6.CME@BMD,6818.77,NET GEX 36065.3,#000000,#FFA500,center,1,FALSE
ESM6.CME@BMD,6835.82,GEX now +1230,#000000,#00BFFF,center,1,TRUE
ESM6.CME@BMD,6850.82,GEX 1m -1834,#FFFFFF,#FF6600,center,1,TRUE
ESM6.CME@BMD,6890.82,GEX 5m +2149,#000000,#00BFFF,center,1,TRUE
ESM6.CME@BMD,6890.82,GEX 10m +1387,#000000,#00BFFF,center,1,TRUE
ESM6.CME@BMD,6870.82,GEX 15m +10014,#000000,#00BFFF,center,1,TRUE
ESM6.CME@BMD,6870.82,GEX 30m +12244,#000000,#00BFFF,center,1,TRUE
NQM6.CME@BMD,25375.77,CALL 25375.8,#FFFFFF,#008000,center,1,TRUE
NQM6.CME@BMD,24915.61,PUT 24915.6,#FFFFFF,#8B0000,center,1,TRUE
NQM6.CME@BMD,25097.4,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
NQM6.CME@BMD,25197.65,SPOT 25197.7,#000000,#FFFF00,center,1,TRUE
NQM6.CME@BMD,25097.4,NET GEX 816.1,#000000,#FFA500,center,1,FALSE
NQM6.CME@BMD,24915.77,GEX now +17,#000000,#00BFFF,center,1,TRUE
NQM6.CME@BMD,25275.77,GEX 1m -89,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25175.77,GEX 5m -214,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25075.77,GEX 10m -253,#FFFFFF,#FF6600,center,1,TRUE
NQM6.CME@BMD,25325.77,GEX 15m +428,#000000,#00BFFF,center,1,TRUE
NQM6.CME@BMD,25225.77,GEX 30m +400,#000000,#00BFFF,center,1,TRUE
NVDA.NASDAQ@BMD,182.5,CALL 182.5,#FFFFFF,#008000,center,1,TRUE
NVDA.NASDAQ@BMD,170,PUT 170.0,#FFFFFF,#8B0000,center,1,TRUE
NVDA.NASDAQ@BMD,180.6,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
NVDA.NASDAQ@BMD,183.43,SPOT 183.4,#000000,#FFFF00,center,1,TRUE
NVDA.NASDAQ@BMD,180.6,NET GEX 695.3,#000000,#FFA500,center,1,FALSE
NVDA.NASDAQ@BMD,185,GEX now -2,#FFFFFF,#FF6600,center,1,TRUE
NVDA.NASDAQ@BMD,182.5,GEX 1m -5,#FFFFFF,#FF6600,center,1,TRUE
NVDA.NASDAQ@BMD,185,GEX 5m +2,#000000,#00BFFF,center,1,TRUE
NVDA.NASDAQ@BMD,185,GEX 10m -5,#FFFFFF,#FF6600,center,1,TRUE
NVDA.NASDAQ@BMD,185,GEX 15m +19,#000000,#00BFFF,center,1,TRUE
NVDA.NASDAQ@BMD,185,GEX 30m +8,#000000,#00BFFF,center,1,TRUE
TSLA.NASDAQ@BMD,360,CALL 360.0,#FFFFFF,#008000,center,1,TRUE
TSLA.NASDAQ@BMD,340,PUT 340.0,#FFFFFF,#8B0000,center,1,TRUE
TSLA.NASDAQ@BMD,342.75,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
TSLA.NASDAQ@BMD,346.9,SPOT 346.9,#000000,#FFFF00,center,1,TRUE
TSLA.NASDAQ@BMD,342.75,NET GEX 52.4,#000000,#FFA500,center,1,FALSE
TSLA.NASDAQ@BMD,345,GEX now -4,#FFFFFF,#FF6600,center,1,TRUE
TSLA.NASDAQ@BMD,345,GEX 1m -7,#FFFFFF,#FF6600,center,1,TRUE
TSLA.NASDAQ@BMD,335,GEX 5m +9,#000000,#00BFFF,center,1,TRUE
TSLA.NASDAQ@BMD,357.5,GEX 10m +9,#000000,#00BFFF,center,1,TRUE
TSLA.NASDAQ@BMD,357.5,GEX 15m +18,#000000,#00BFFF,center,1,TRUE
TSLA.NASDAQ@BMD,345,GEX 30m -40,#FFFFFF,#FF6600,center,1,TRUE
AAPL.NASDAQ@BMD,265,CALL 265.0,#FFFFFF,#008000,center,1,TRUE
AAPL.NASDAQ@BMD,245,PUT 245.0,#FFFFFF,#8B0000,center,1,TRUE
AAPL.NASDAQ@BMD,256.48,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
AAPL.NASDAQ@BMD,259.74,SPOT 259.7,#000000,#FFFF00,center,1,TRUE
AAPL.NASDAQ@BMD,256.48,NET GEX 194.7,#000000,#FFA500,center,1,FALSE
AAPL.NASDAQ@BMD,260,GEX now +1,#000000,#00BFFF,center,1,TRUE
AAPL.NASDAQ@BMD,262.5,GEX 1m +3,#000000,#00BFFF,center,1,TRUE
AAPL.NASDAQ@BMD,260,GEX 5m +13,#000000,#00BFFF,center,1,TRUE
AAPL.NASDAQ@BMD,265,GEX 10m +11,#000000,#00BFFF,center,1,TRUE
AAPL.NASDAQ@BMD,262.5,GEX 15m +20,#000000,#00BFFF,center,1,TRUE
AAPL.NASDAQ@BMD,262.5,GEX 30m +21,#000000,#00BFFF,center,1,TRUE
MSFT.NASDAQ@BMD,380,CALL 380.0,#FFFFFF,#008000,center,1,TRUE
MSFT.NASDAQ@BMD,365,PUT 365.0,#FFFFFF,#8B0000,center,1,TRUE
MSFT.NASDAQ@BMD,368.1,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
MSFT.NASDAQ@BMD,372,SPOT 372.0,#000000,#FFFF00,center,1,TRUE
MSFT.NASDAQ@BMD,368.1,NET GEX 62.7,#000000,#FFA500,center,1,FALSE
MSFT.NASDAQ@BMD,367.5,GEX now -1,#FFFFFF,#FF6600,center,1,TRUE
MSFT.NASDAQ@BMD,370,GEX 1m -3,#FFFFFF,#FF6600,center,1,TRUE
MSFT.NASDAQ@BMD,372.5,GEX 5m +5,#000000,#00BFFF,center,1,TRUE
MSFT.NASDAQ@BMD,370,GEX 10m -7,#FFFFFF,#FF6600,center,1,TRUE
MSFT.NASDAQ@BMD,372.5,GEX 15m +10,#000000,#00BFFF,center,1,TRUE
MSFT.NASDAQ@BMD,375,GEX 30m +15,#000000,#00BFFF,center,1,TRUE
AMZN.NASDAQ@BMD,230,CALL 230.0,#FFFFFF,#008000,center,1,TRUE
AMZN.NASDAQ@BMD,202.5,PUT 202.5,#FFFFFF,#8B0000,center,1,TRUE
AMZN.NASDAQ@BMD,223.98,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
AMZN.NASDAQ@BMD,230.99,SPOT 231.0,#000000,#FFFF00,center,1,TRUE
AMZN.NASDAQ@BMD,223.98,NET GEX 170.6,#000000,#FFA500,center,1,FALSE
AMZN.NASDAQ@BMD,230,GEX now +3,#000000,#00BFFF,center,1,TRUE
AMZN.NASDAQ@BMD,230,GEX 1m -4,#FFFFFF,#FF6600,center,1,TRUE
AMZN.NASDAQ@BMD,230,GEX 5m +15,#000000,#00BFFF,center,1,TRUE
AMZN.NASDAQ@BMD,230,GEX 10m +7,#000000,#00BFFF,center,1,TRUE
AMZN.NASDAQ@BMD,232.5,GEX 15m +8,#000000,#00BFFF,center,1,TRUE
AMZN.NASDAQ@BMD,232.5,GEX 30m +16,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,650,CALL 650.0,#FFFFFF,#008000,center,1,TRUE
META.NASDAQ@BMD,595,PUT 595.0,#FFFFFF,#8B0000,center,1,TRUE
META.NASDAQ@BMD,625.04,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
META.NASDAQ@BMD,633.15,SPOT 633.1,#000000,#FFFF00,center,1,TRUE
META.NASDAQ@BMD,625.04,NET GEX 247.0,#000000,#FFA500,center,1,FALSE
META.NASDAQ@BMD,630,GEX now +7,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,630,GEX 1m +6,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,635,GEX 5m +7,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,625,GEX 10m +3,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,650,GEX 15m +17,#000000,#00BFFF,center,1,TRUE
META.NASDAQ@BMD,615,GEX 30m -4,#FFFFFF,#FF6600,center,1,TRUE
GOOGL.NASDAQ@BMD,322.5,CALL 322.5,#FFFFFF,#008000,center,1,TRUE
GOOGL.NASDAQ@BMD,312.5,PUT 312.5,#FFFFFF,#8B0000,center,1,TRUE
GOOGL.NASDAQ@BMD,312.91,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
GOOGL.NASDAQ@BMD,318.45,SPOT 318.4,#000000,#FFFF00,center,1,TRUE
GOOGL.NASDAQ@BMD,312.91,NET GEX 142.2,#000000,#FFA500,center,1,FALSE
GOOGL.NASDAQ@BMD,315,GEX now +1,#000000,#00BFFF,center,1,TRUE
GOOGL.NASDAQ@BMD,317.5,GEX 1m +4,#000000,#00BFFF,center,1,TRUE
GOOGL.NASDAQ@BMD,317.5,GEX 5m +2,#000000,#00BFFF,center,1,TRUE
GOOGL.NASDAQ@BMD,317.5,GEX 10m +3,#000000,#00BFFF,center,1,TRUE
GOOGL.NASDAQ@BMD,320,GEX 15m +5,#000000,#00BFFF,center,1,TRUE
GOOGL.NASDAQ@BMD,320,GEX 30m +9,#000000,#00BFFF,center,1,TRUE
AMD.NASDAQ@BMD,235,CALL 235.0,#FFFFFF,#008000,center,1,TRUE
AMD.NASDAQ@BMD,217.5,PUT 217.5,#FFFFFF,#8B0000,center,1,TRUE
AMD.NASDAQ@BMD,233.31,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
AMD.NASDAQ@BMD,234.26,SPOT 234.3,#000000,#FFFF00,center,1,TRUE
AMD.NASDAQ@BMD,233.31,NET GEX 111.4,#000000,#FFA500,center,1,FALSE
AMD.NASDAQ@BMD,235,GEX now +1,#000000,#00BFFF,center,1,TRUE
AMD.NASDAQ@BMD,235,GEX 1m -4,#FFFFFF,#FF6600,center,1,TRUE
AMD.NASDAQ@BMD,240,GEX 5m -2,#FFFFFF,#FF6600,center,1,TRUE
AMD.NASDAQ@BMD,240,GEX 10m -4,#FFFFFF,#FF6600,center,1,TRUE
AMD.NASDAQ@BMD,237.5,GEX 15m +2,#000000,#00BFFF,center,1,TRUE
AMD.NASDAQ@BMD,240,GEX 30m -8,#FFFFFF,#FF6600,center,1,TRUE
AVGO.NASDAQ@BMD,360,CALL 360.0,#FFFFFF,#008000,center,1,TRUE
AVGO.NASDAQ@BMD,280,PUT 280.0,#FFFFFF,#8B0000,center,1,TRUE
AVGO.NASDAQ@BMD,351.25,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
AVGO.NASDAQ@BMD,357.53,SPOT 357.5,#000000,#FFFF00,center,1,TRUE
AVGO.NASDAQ@BMD,351.25,NET GEX 81.3,#000000,#FFA500,center,1,FALSE
AVGO.NASDAQ@BMD,320,GEX now +0,#000000,#00BFFF,center,1,TRUE
AVGO.NASDAQ@BMD,360,GEX 1m -1,#FFFFFF,#FF6600,center,1,TRUE
AVGO.NASDAQ@BMD,345,GEX 5m +2,#000000,#00BFFF,center,1,TRUE
AVGO.NASDAQ@BMD,355,GEX 10m +1,#000000,#00BFFF,center,1,TRUE
AVGO.NASDAQ@BMD,365,GEX 15m +1,#000000,#00BFFF,center,1,TRUE
AVGO.NASDAQ@BMD,360,GEX 30m +4,#000000,#00BFFF,center,1,TRUE
PLTR.NYSE@BMD,147.02,CALL 147.0,#FFFFFF,#008000,center,1,TRUE
PLTR.NYSE@BMD,130,PUT 130.0,#FFFFFF,#8B0000,center,1,TRUE
PLTR.NYSE@BMD,132.9,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
PLTR.NYSE@BMD,130,SPOT 130.0,#000000,#FFFF00,center,1,TRUE
PLTR.NYSE@BMD,132.9,NET GEX -44.5,#000000,#FFA500,center,1,FALSE
PLTR.NYSE@BMD,130,GEX now -1,#FFFFFF,#FF6600,center,1,TRUE
PLTR.NYSE@BMD,130,GEX 1m -1,#FFFFFF,#FF6600,center,1,TRUE
PLTR.NYSE@BMD,127,GEX 5m -2,#FFFFFF,#FF6600,center,1,TRUE
PLTR.NYSE@BMD,127,GEX 10m -3,#FFFFFF,#FF6600,center,1,TRUE
PLTR.NYSE@BMD,127,GEX 15m -3,#FFFFFF,#FF6600,center,1,TRUE
PLTR.NYSE@BMD,127,GEX 30m -8,#FFFFFF,#FF6600,center,1,TRUE
MSTR.NASDAQ@BMD,132,CALL 132.0,#FFFFFF,#008000,center,1,TRUE
MSTR.NASDAQ@BMD,121,PUT 121.0,#FFFFFF,#8B0000,center,1,TRUE
MSTR.NASDAQ@BMD,129,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
MSTR.NASDAQ@BMD,130.46,SPOT 130.5,#000000,#FFFF00,center,1,TRUE
MSTR.NASDAQ@BMD,129,NET GEX 179.8,#000000,#FFA500,center,1,FALSE
MSTR.NASDAQ@BMD,131,GEX now -1,#FFFFFF,#FF6600,center,1,TRUE
MSTR.NASDAQ@BMD,131,GEX 1m -1,#FFFFFF,#FF6600,center,1,TRUE
MSTR.NASDAQ@BMD,132,GEX 5m +1,#000000,#00BFFF,center,1,TRUE
MSTR.NASDAQ@BMD,132,GEX 10m +1,#000000,#00BFFF,center,1,TRUE
MSTR.NASDAQ@BMD,132,GEX 15m +2,#000000,#00BFFF,center,1,TRUE
MSTR.NASDAQ@BMD,125,GEX 30m +1,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,177.5,CALL 177.5,#FFFFFF,#008000,center,1,TRUE
COIN.NASDAQ@BMD,167.5,PUT 167.5,#FFFFFF,#8B0000,center,1,TRUE
COIN.NASDAQ@BMD,171.25,ZERO GAMMA,#FFFFFF,#9370DB,center,1,TRUE
COIN.NASDAQ@BMD,172.14,SPOT 172.1,#000000,#FFFF00,center,1,TRUE
COIN.NASDAQ@BMD,171.25,NET GEX 30.2,#000000,#FFA500,center,1,FALSE
COIN.NASDAQ@BMD,180,GEX now +0,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,180,GEX 1m +0,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,180,GEX 5m +0,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,172.5,GEX 10m +0,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,177.5,GEX 15m +1,#000000,#00BFFF,center,1,TRUE
COIN.NASDAQ@BMD,170,GEX 30m -1,#FFFFFF,#FF6600,center,1,TRUE
